wl;refl
440.25403;0.098124
440.449438;-0.16779
440.644846;-0.11815
440.840254;-0.0016722
441.035662;-0.039088
441.23107;0.10664
441.426478;-0.12977
441.621886;0.060465
441.817294;0.10796
442.012702;-0.050167
442.208109;-0.1147
442.403517;0.03527
442.598925;0.11847
442.794333;-0.060606
442.989741;-0.20808
443.185149;0.06162
443.380557;-0.0047022
443.575965;0.20251
443.771373;0.23226
443.966781;0.19192
444.162189;-0.062003
444.357596;-0.20329
444.553004;-0.15035
444.748412;0.0060606
444.94382;0.0013369
445.139228;-0.18506
445.334636;-0.37778
445.530044;-0.21284
445.725452;0.0088365
445.92086;-0.096322
446.116268;-0.070381
446.311676;-0.081594
446.507084;0.25405
446.702491;-0.055846
446.897899;0.10156
447.093307;0.16614
447.288715;0.35749
447.484123;-0.025758
447.679531;0.23694
447.874939;0.078176
448.070347;-0.061033
448.265755;0.057312
448.461163;0.068966
448.656571;-222
448.851979;0.17292
449.047386;-0.046763
449.242794;-0.1202
449.438202;-0.1609
449.63361;0.12338
449.829018;0.0048622
450.024426;-0.18578
450.219834;-0.22876
450.415242;-0.024605
450.61065;0.14967
450.806058;-0.10638
451.001466;0.035088
451.196873;0.09119
451.392281;-0.070376
451.587689;-0.22892
451.783097;-0.26098
451.978505;0.21745
452.173913;-0.4612
452.369321;-0.091388
452.564729;-0.43682
452.760137;-84
452.955545;-0.13126
453.150953;-0.027322
453.346361;-0.018405
453.541768;-0.10891
453.737176;0.18053
453.932584;0.22159
454.127992;-0.093949
454.3234;-0.079872
454.518808;0.1
454.714216;-0.041528
454.909624;0.090909
455.105032;-0.082353
455.30044;-0.18151
455.495848;0.058708
455.691255;-0.011765
455.886663;-0.029358
456.082071;-0.1124
456.277479;-0.061256
456.472887;-0.25651
456.668295;0.0021882
456.863703;-0.1896
457.059111;-0.031936
457.254519;-0.30263
457.449927;0.05124
457.645335;0.011236
457.840743;-302
458.03615;-0.20652
458.231558;0.0066445
458.426966;-0.055965
458.622374;-0.082077
458.817782;-0.17699
459.01319;0.071895
459.208598;0.099379
459.404006;0.18681
459.599414;0.021851
459.794822;0.083458
459.99023;0.17821
460.185638;-0.037685
460.381045;0.0052356
460.576453;0.088915
460.771861;0.034146
460.967269;0.088869
461.162677;-0.075995
461.358085;-102
461.553493;0.017544
461.748901;0.12773
461.944309;-0.0047059
462.139717;0.18591
462.335125;-0.091709
462.530532;0.065278
462.72594;0.037231
462.921348;-0.022649
463.116756;0.063408
463.312164;0.044618
463.507572;0.030539
463.70298;0.019169
463.898388;0.042652
464.093796;-0.026413
464.289204;0.028686
464.484612;0.1426
464.68002;0.099087
464.875427;0.023904
465.070835;0.1295
465.266243;0.10842
465.461651;0.06867
465.657059;0.0625
465.852467;0.10274
466.047875;0.094542
466.243283;0.052162
466.438691;0.067202
466.634099;0.039963
466.829507;0.090729
467.024915;0.051311
467.220322;0.077681
467.41573;0.051358
467.611138;0.073255
467.806546;0.084772
468.001954;0.10093
468.197362;0.061528
468.39277;0.10759
468.588178;0.084261
468.783586;0.085731
468.978994;0.073879
469.174402;0.084874
469.369809;0.085417
469.565217;0.069507
469.760625;0.098013
469.956033;0.084632
470.151441;0.11067
470.346849;0.081987
470.542257;0.075366
470.737665;0.080099
470.933073;0.093429
471.128481;0.082791
471.323889;0.096717
471.519297;0.084137
471.714704;0.058122
471.910112;0.092095
472.10552;0.088293
472.300928;0.078415
472.496336;0.076113
472.691744;0.095757
472.887152;0.093808
473.08256;0.093397
